,Unnamed: 0,trial_num,image,is_repeat,type,Image Index,Block,Onset,Offset,Response,RT
0,0,1,T2_5,True,target,Filler-511,1,0.7664909362792969,2.783031940460205,1.0,0.6162600517272949
1,1,2,T4_11,False,target,Target-1322,1,3.2993929386138916,5.3160719871521,1.0,0.7005369663238525
2,2,3,F_S7,False,filler,Target-1907,1,5.816237926483154,7.832626819610596,1.0,0.5331099033355713
3,3,4,T2_12,False,target,Filler-7840,1,8.333348989486694,10.349763870239258,1.0,0.23293495178222656
4,4,5,T1_10,False,target,Filler-903,1,10.850000858306885,12.86616587638855,0.0,0.35002803802490234
5,5,6,T3_13,False,target,Target-1306,1,13.382192850112915,15.383137941360474,0.0,0.8347480297088623
6,6,7,T1_12,False,target,Filler-5543,1,15.883606910705566,17.89894199371338,0.0,0.5823049545288086
7,7,8,T4_4,False,target,Filler-2539,1,18.415583848953247,20.432662963867188,0.0,0.46669602394104004
8,8,9,F_R3,False,filler,Target-47,1,20.948715925216675,22.965343952178955,0.0,0.601038932800293
9,9,10,F_S16,False,filler,Target-2179,1,23.4664089679718,25.482444047927856,0.0,0.5824298858642578
10,10,11,T2_14,False,target,Target-1179,1,25.998970985412598,28.015403985977173,0.0,0.8838379383087158
11,11,12,F_R3,True,filler,Target-47,1,28.51583695411682,30.516051054000854,1.0,0.8165459632873535
12,12,13,T4_2,False,target,Filler-2138,1,31.03156304359436,33.03176689147949,0.0,0.6337308883666992
13,13,14,F_R4,False,filler,Target-84,1,33.54944682121277,35.56521701812744,0.0,0.6657562255859375
14,14,15,T1_6,False,target,Filler-6863,1,36.08167505264282,38.09850287437439,0.0,0.8173348903656006
15,15,16,T4_14,False,target,Filler-6381,1,38.61473202705383,40.6314480304718,0.0,0.7001538276672363
16,16,17,F_R4,True,filler,Target-84,1,41.13187289237976,43.148195028305054,0.0,0.7665150165557861
17,17,18,T3_9,False,target,Filler-7963,1,43.665809869766235,45.68105602264404,0.0,0.94852614402771
18,18,19,F_S4,False,filler,Target-1874,1,46.198272943496704,48.1985719203949,0.0,0.5508220195770264
19,19,20,F_S9,False,filler,Target-2027,1,48.69878101348877,50.71426200866699,0.0,0.6327378749847412
20,20,21,T3_7,False,target,Filler-15,1,51.21565794944763,53.23203802108765,0.0,0.6993820667266846
21,21,22,T1_2,False,target,Target-1458,1,53.747495889663696,55.747894048690796,0.0,0.45072102546691895
22,22,23,F_S5,False,filler,Target-1903,1,56.26472496986389,58.26487398147583,0.0,0.4144129753112793
23,23,24,T4_10,False,target,Filler-1569,1,58.78071188926697,60.78104901313782,0.0,0.35048604011535645
