,Unnamed: 0,trial_num,image,is_repeat,type,Image Index,Block,Correct,Onset,Offset,Response,RT
0,0,1,T4_2,True,target,Target-1620,12,0.0,0.3008158206939697,2.316178798675537,0.0,0.6810281276702881
1,1,2,T1_2,False,target,Target-1234,12,0.0,2.833850860595703,4.849742889404297,0.0,0.7160890102386475
2,2,3,F_S9,False,filler,Filler-4844,12,0.0,5.367857933044434,7.383206844329834,0.0,0.5657000541687012
3,3,4,F_S18,False,filler,Filler-5160,12,0.0,7.90051794052124,9.916297912597656,1.0,0.46631383895874023
4,4,5,T3_9,False,target,Filler-7802,12,0.0,10.43347978591919,12.44900393486023,0.0,0.5666301250457764
5,5,6,T2_6,False,target,Target-452,12,0.0,12.950608968734741,14.967312812805176,0.0,0.7823808193206787
6,6,7,T4_6,False,target,Filler-6444,12,0.0,15.483882904052734,17.499676942825317,0.0,0.5330219268798828
7,7,8,T1_9,False,target,Target-985,12,0.0,18.0009708404541,20.01526188850403,0.0,0.5822329521179199
8,8,9,F_R5,False,filler,Target-1648,12,0.0,20.51801085472107,22.532824993133545,1.0,0.682142972946167
9,9,10,T3_13,False,target,Filler-4728,12,0.0,23.050586938858032,25.06663680076599,0.0,0.3654940128326416
10,10,11,T3_15,False,target,Target-1140,12,0.0,25.584396839141846,27.59993886947632,0.0,0.5488691329956055
11,11,12,F_R5,True,filler,Target-1648,12,1.0,28.101370811462402,30.11570692062378,0.0,0.6154170036315918
12,12,13,T4_9,False,target,Filler-821,12,0.0,30.61726188659668,32.63307499885559,0.0,0.7993369102478027
13,13,14,T1_11,False,target,Target-1658,12,0.0,33.13459777832031,35.15014886856079,0.0,0.5810661315917969
14,14,15,F_R1,False,filler,Target-1549,12,0.0,35.66725778579712,37.68241000175476,0.0,0.6145939826965332
15,15,16,F_R2,False,filler,Target-1558,12,0.0,38.184252977371216,40.19910478591919,1.0,0.49865293502807617
16,16,17,F_R1,True,filler,Target-1549,12,1.0,40.70056080818176,42.71607995033264,0.0,0.44936418533325195
17,17,18,F_R2,True,filler,Target-1558,12,1.0,43.233741998672485,45.24945878982544,1.0,0.8491389751434326
18,18,19,T1_3,False,target,Filler-1805,12,0.0,45.750887870788574,47.7658109664917,0.0,0.6827080249786377
19,19,20,T2_1,False,target,Filler-2343,12,0.0,48.26723790168762,50.283055782318115,0.0,0.9494030475616455
